created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Feb 28 00:35:01 +0000 2023,1630365924187574273,Lama² mirip Anies... https://t.co/RINRAFdjzC,17,158,56,496,en,84221579,1630365924187574273,narkosun,https://twitter.com/narkosun/status/1630365924187574273,
Sun Feb 19 01:17:38 +0000 2023,1627115158102220800,"Anies Baswedan made a cordial gesture by writing an article in Kompas, inviting discussions on important ideas before the upcoming Indonesian election. As the campaign intensifies, I am eager to see what other candidates will offer. https://t.co/gl6QAkZQs3",11,4,53,319,en,34544355,1627115158102220800,edbertgani,https://twitter.com/edbertgani/status/1627115158102220800,
Wed Feb 15 15:39:07 +0000 2023,1625882405868539904,Happy Valentines Day from Gyu and Noe 💝👼 https://t.co/SfwXffbaua,0,6,40,435,en,998788105736876032,1625882405868539904,Anies_only,https://twitter.com/Anies_only/status/1625882405868539904,
Thu Feb 09 00:03:32 +0000 2023,1623472632535584769,Wibi Andrino: Anies The Man With Idea https://t.co/8CBFSkBNMR,2,16,130,557,en,887743587579944960,1623472632535584769,OposisiCerdas,https://twitter.com/OposisiCerdas/status/1623472632535584769,
Tue Jan 31 06:56:23 +0000 2023,1620315036014247936,Welcome to Bima Mr Presiden 2024 @aniesbaswedan Sambutan luar biasa. Wes Wayahe wes WANCINE Anies Presiden https://t.co/MUkUFWEXzG,2,7,103,356,en,2558197662,1620315036014247936,patriot016610,https://twitter.com/patriot016610/status/1620315036014247936,aniesbaswedan
Sat Jan 14 16:08:11 +0000 2023,1614293306334380032,Anies Vs Yohanies 😁🤪  @WagimanDeep212_ https://t.co/3i4hYwhCUW,22,1,124,494,en,45602536,1614293306334380032,GunRomli,https://twitter.com/GunRomli/status/1614293306334380032,WagimanDeep212_
Sun Jan 22 06:11:54 +0000 2023,1617042350941036544,"Ustadz Tile: Anies Presiden, Anies Presiden, Anies Presiden  https://t.co/3bjEzsvxtX",10,106,347,1687,en,1185767973111263233,1617042350941036544,abwnews_,https://twitter.com/abwnews_/status/1617042350941036544,
Fri Jan 27 16:48:50 +0000 2023,1619014580793122816,It's my time to SHINE with my Anies-Sandi fanfiction https://t.co/doQixrcLfK,228,63,371,1747,en,2662512480,1619014580793122816,tiuwtiw,https://twitter.com/tiuwtiw/status/1619014580793122816,
Fri Jan 13 08:49:33 +0000 2023,1613820535796031490,Wow! Selamat mas Anies.. 👍👏👏,4,5,74,374,tl,30766806,1613820535796031490,Reiza_Patters,https://twitter.com/Reiza_Patters/status/1613820535796031490,
Fri Jan 06 08:41:43 +0000 2023,1611281847375507458,Yang dibaptis Anies yang dituding murtad kok Gus Yaqut?? 😋🤭  #ustadzsuparmanabdulkarim ===========  Website : https://t.co/BTkpteZ0EJ  Telegram : https://t.co/yZ19QgrmOq  Instagram : https://t.co/eT1qXtBXT8  Twitter : https://t.co/km18mHLh02  Youtube: https://t.co/oycjP9P3S9 https://t.co/tPAKoHt95w,26,48,319,960,en,1510900708228612097,1611281847375507458,KartiniNKRI,https://twitter.com/KartiniNKRI/status/1611281847375507458,
